8384 [Forwarding isElementDisplayed on session 14b43124-ab3b-4480-9517-e5af4ceec522 to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Opening connection {}->http://localhost:22803
8384 [Forwarding isElementDisplayed on session 14b43124-ab3b-4480-9517-e5af4ceec522 to remote] DEBUG org.apache.http.impl.conn.DefaultHttpClientConnectionOperator  - Connecting to localhost/127.0.0.1:22803
8385 [Forwarding isElementDisplayed on session 14b43124-ab3b-4480-9517-e5af4ceec522 to remote] DEBUG org.apache.http.impl.conn.DefaultHttpClientConnectionOperator  - Connection established 127.0.0.1:50905<->127.0.0.1:22803
8385 [Forwarding isElementDisplayed on session 14b43124-ab3b-4480-9517-e5af4ceec522 to remote] DEBUG org.apache.http.impl.conn.DefaultManagedHttpClientConnection  - http-outgoing-24: set socket timeout to 10800000
8385 [Forwarding isElementDisplayed on session 14b43124-ab3b-4480-9517-e5af4ceec522 to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Executing request POST /session/14b43124-ab3b-4480-9517-e5af4ceec522/execute/sync HTTP/1.1
8385 [Forwarding isElementDisplayed on session 14b43124-ab3b-4480-9517-e5af4ceec522 to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Target auth state: UNCHALLENGED
8385 [Forwarding isElementDisplayed on session 14b43124-ab3b-4480-9517-e5af4ceec522 to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Proxy auth state: UNCHALLENGED
8385 [Forwarding isElementDisplayed on session 14b43124-ab3b-4480-9517-e5af4ceec522 to remote] DEBUG org.apache.http.headers  - http-outgoing-24 >> POST /session/14b43124-ab3b-4480-9517-e5af4ceec522/execute/sync HTTP/1.1
8385 [Forwarding isElementDisplayed on session 14b43124-ab3b-4480-9517-e5af4ceec522 to remote] DEBUG org.apache.http.headers  - http-outgoing-24 >> Content-Type: application/json; charset=utf-8
8385 [Forwarding isElementDisplayed on session 14b43124-ab3b-4480-9517-e5af4ceec522 to remote] DEBUG org.apache.http.headers  - http-outgoing-24 >> Content-Length: 55277
8385 [Forwarding isElementDisplayed on session 14b43124-ab3b-4480-9517-e5af4ceec522 to remote] DEBUG org.apache.http.headers  - http-outgoing-24 >> Host: localhost:22803
8385 [Forwarding isElementDisplayed on session 14b43124-ab3b-4480-9517-e5af4ceec522 to remote] DEBUG org.apache.http.headers  - http-outgoing-24 >> Connection: Keep-Alive
8385 [Forwarding isElementDisplayed on session 14b43124-ab3b-4480-9517-e5af4ceec522 to remote] DEBUG org.apache.http.headers  - http-outgoing-24 >> User-Agent: Apache-HttpClient/4.5.3 (Java/1.8.0_151)
8385 [Forwarding isElementDisplayed on session 14b43124-ab3b-4480-9517-e5af4ceec522 to remote] DEBUG org.apache.http.headers  - http-outgoing-24 >> Accept-Encoding: gzip,deflate
8385 [Forwarding isElementDisplayed on session 14b43124-ab3b-4480-9517-e5af4ceec522 to remote] DEBUG org.apache.http.wire  - http-outgoing-24 >> "POST /session/14b43124-ab3b-4480-9517-e5af4ceec522/execute/sync HTTP/1.1[\r][\n]"
8385 [Forwarding isElementDisplayed on session 14b43124-ab3b-4480-9517-e5af4ceec522 to remote] DEBUG org.apache.http.wire  - http-outgoing-24 >> "Content-Type: application/json; charset=utf-8[\r][\n]"
8385 [Forwarding isElementDisplayed on session 14b43124-ab3b-4480-9517-e5af4ceec522 to remote] DEBUG org.apache.http.wire  - http-outgoing-24 >> "Content-Length: 55277[\r][\n]"
8385 [Forwarding isElementDisplayed on session 14b43124-ab3b-4480-9517-e5af4ceec522 to remote] DEBUG org.apache.http.wire  - http-outgoing-24 >> "Host: localhost:22803[\r][\n]"
8385 [Forwarding isElementDisplayed on session 14b43124-ab3b-4480-9517-e5af4ceec522 to remote] DEBUG org.apache.http.wire  - http-outgoing-24 >> "Connection: Keep-Alive[\r][\n]"
8385 [Forwarding isElementDisplayed on session 14b43124-ab3b-4480-9517-e5af4ceec522 to remote] DEBUG org.apache.http.wire  - http-outgoing-24 >> "User-Agent: Apache-HttpClient/4.5.3 (Java/1.8.0_151)[\r][\n]"
8385 [Forwarding isElementDisplayed on session 14b43124-ab3b-4480-9517-e5af4ceec522 to remote] DEBUG org.apache.http.wire  - http-outgoing-24 >> "Accept-Encoding: gzip,deflate[\r][\n]"
8385 [Forwarding isElementDisplayed on session 14b43124-ab3b-4480-9517-e5af4ceec522 to remote] DEBUG org.apache.http.wire  - http-outgoing-24 >> "[\r][\n]"
